"symbol","entrez","mapped"
"GSC2","2928",TRUE
"ZNF275","10838",TRUE
"MTMR1","8776",TRUE
"GPC1","2817",TRUE
"ADCK1","57143",TRUE
"HAGH","3029",TRUE
"RNF4","6047",TRUE
"CASP8","841",TRUE
"LIMCH1","22998",TRUE
"INTS13","55726",TRUE
"TM7SF3","51768",TRUE
"DLX3","1747",TRUE
"SPA17","53340",TRUE
"TSPAN32","10077",TRUE
"CCN5","8839",TRUE
"DMRT3","58524",TRUE
"ST3GAL6","10402",TRUE
"ATP2C2","9914",TRUE
"NGFR","4804",TRUE
"CDON","50937",TRUE
"TAF2","6873",TRUE
"HIPK2","28996",TRUE
"TNPO3","23534",TRUE
"RFXANK","8625",TRUE
"TMEM161A","54929",TRUE
"LPAR2","9170",TRUE
"CTSA","5476",TRUE
"SUGP2","10147",TRUE
"SLC12A2","6558",TRUE
"SNX24","28966",TRUE
"EYA2","2139",TRUE
"CNN2","1265",TRUE
"ABCA7","10347",TRUE
"SNCAIP","9627",TRUE
"DDX20","11218",TRUE
"BTBD1","53339",TRUE
"FAR2","55711",TRUE
"BCAS1","8537",TRUE
"CHI3L2","1117",TRUE
"SBNO2","22904",TRUE
"PMS1","5378",TRUE
"HMG20B","10362",TRUE
"CALCRL","10203",TRUE
"TAF11","6882",TRUE
"ANKS1A","23294",TRUE
"AP3D1","8943",TRUE
"ZNF76","7629",TRUE
"NHERF2","9351",TRUE
"NTHL1","4913",TRUE
"BLTP3A","54887",TRUE
"GNAI3","2773",TRUE
"IPO5","3843",TRUE
"OAT","4942",TRUE
"WDR3","10885",TRUE
"PKN2","5586",TRUE
"WDR18","57418",TRUE
"TRAM2","9697",TRUE
"NTN1","9423",TRUE
"GLP2R","9340",TRUE
"MCM10","55388",TRUE
"DGKA","1606",TRUE
"ERBB3","2065",TRUE
"ROPN1","54763",TRUE
"ANKRD44","91526",TRUE
"KARS1","3735",TRUE
"ADAT1","23536",TRUE
"PDIA5","10954",TRUE
"TBC1D22B","55633",TRUE
"NDUFB4","4710",TRUE
"SPEN","23013",TRUE
"MYLK","4638",TRUE
"ZC3H15","55854",TRUE
"MAP2K4","6416",TRUE
"PACC1","55248",TRUE
"SNAP91","9892",TRUE
"SLK","9748",TRUE
"CYB5R4","51167",TRUE
"COL17A1","1308",TRUE
"GSTO2","119391",TRUE
"SEC61A2","55176",TRUE
"PRKCQ","5588",TRUE
"TLE2","7089",TRUE
"ASB1","51665",TRUE
"FAM107B","83641",TRUE
"ME1","4199",TRUE
"TBC1D1","23216",TRUE
"CDK13","8621",TRUE
"MTHFD2","10797",TRUE
"SLC9A7","84679",TRUE
"FOXJ2","55810",TRUE
"YBX1","4904",TRUE
"PDE4A","5141",TRUE
"PPP2R5A","5525",TRUE
"CTNNA2","1496",TRUE
"ELAVL1","1994",TRUE
"TIE1","7075",TRUE
"DIP2B","57609",TRUE
"SMARCD1","6602",TRUE
"KDM4A","9682",TRUE
"NFYC","4802",TRUE
"ZMYND12","84217",TRUE
"SLC9A3","6550",TRUE
"NGEF","25791",TRUE
"ASPM","259266",TRUE
"ELOVL1","64834",TRUE
"POLR1H","30834",TRUE
"MPPED2","744",TRUE
"ZBTB11","27107",TRUE
"ATXN3","4287",TRUE
"GOLGA5","9950",TRUE
"FGFR2","2263",TRUE
"LRRC40","55631",TRUE
"ISOC1","51015",TRUE
"EML1","2009",TRUE
"TRMT11","60487",TRUE
"THUMPD1","55623",TRUE
"MSANTD3","91283",TRUE
"KIF26A","26153",TRUE
"ATG2B","55102",TRUE
"ARFGEF1","10565",TRUE
"ZFAT","57623",TRUE
"MTFR1","9650",TRUE
"STAG3","10734",TRUE
"FECH","2235",TRUE
"MYO9A","4649",TRUE
"PFKP","5214",TRUE
"IDI1","3422",TRUE
"SP100","6672",TRUE
