,dist_arc1,dist_arc2,dist_arc3,dist_arc4,nearest_archetype
TCGA-A2-A25F-01,436.8412916483447,710.676242065615,453.40907698300975,425.91927535045494,4
TCGA-A7-A26F-01,448.9046601622457,711.5740354089414,453.17066069239047,420.4552572608781,4
TCGA-A7-A26H-01,450.58775451341336,716.1319379664513,441.9516733410227,429.5888061079065,4
TCGA-B6-A0WT-01,447.18487483648073,713.2278441782878,437.7481229096507,427.7671296645797,4
TCGA-BH-A28Q-01,443.4615275076545,709.6971865868115,433.6877468370437,424.8046032266628,4
TCGA-B6-A1KF-01,431.9934910092909,698.0990739251063,430.17172143683956,410.1206595773656,4
TCGA-S3-A6ZF-01,451.6325127285127,716.2976909354536,439.5121717996023,430.6206025929239,4
TCGA-WT-AB41-01,410.7474622813942,673.7575580189588,396.0496534216634,389.3977639900934,4
TCGA-AC-A62V-01,419.2487362745709,683.6427911917121,402.58827820089635,402.56590269446724,4
TCGA-UU-A93S-01,427.6923170485397,683.7084308812149,408.63980634940333,394.40707575366054,4
TCGA-E2-A1LK-01,420.1618630295424,687.1938313392745,422.9576927242828,399.2070445227469,4
TCGA-S3-AA17-01,441.3258935904852,705.185189399454,427.91496573706803,419.7307337820481,4
TCGA-BH-A209-01,443.2685217203614,710.5156558098008,439.27669141795286,423.918238854574,4
TCGA-GI-A2C8-01,433.01901670556356,698.5796805557833,425.1600111819054,412.28529636037104,4
TCGA-OL-A5D6-01,435.8944392846543,698.3254219866174,426.103621168502,409.87125702293565,4
TCGA-BH-A0EA-01,435.18933700300107,701.689719670234,429.1821424093942,415.4474865270055,4
TCGA-E9-A1R4-01,450.6465317315722,714.2257708282931,437.4433217299176,427.99359556802534,4
TCGA-A8-A092-01,452.610872753278,715.0140538401209,436.620091861296,429.0951556028112,4
TCGA-BH-A18F-01,445.30985856537,711.211742891395,437.54382588018836,424.8027615922952,4
TCGA-AC-A3OD-01,450.62953541294667,716.2194933842101,442.23791793064015,429.60609165106723,4
TCGA-C8-A12V-01,439.3830102045158,708.769363248134,445.5714521404253,421.45134458018623,4
TCGA-A8-A06O-01,448.0230846818602,713.5460853295315,435.13701389569593,429.60147904026735,4
TCGA-E9-A1RD-01,443.9565155058442,708.0019692739203,430.5364871932481,422.67492020382826,4
TCGA-A8-A06N-01,434.06611341684163,693.9803578634843,409.34523234660423,412.86596587546796,3
TCGA-A7-A13D-01,446.3817584659357,712.8090730603833,450.62390020631364,423.5843304123397,4
TCGA-D8-A1XQ-01,436.4873527618484,705.301299052991,441.1548518054723,417.8697095806313,4
TCGA-AR-A0TW-01,430.40186767398916,694.1358292586734,416.5252526453896,409.2623076262443,4
TCGA-JL-A3YX-01,445.00440738260806,707.7937812025497,428.1461579944313,423.22573060560194,4
TCGA-BH-A0H7-01,442.3090825632879,707.4566509192279,433.6783858870882,420.778991368794,4
TCGA-OK-A5Q2-01,446.225674207921,710.1850976896475,434.58766866796844,423.6477919417486,4
TCGA-D8-A141-01,440.72062265549374,710.448236170612,440.2500638994171,425.139228772524,4
TCGA-A7-A56D-01,403.8162186561922,665.8943774682001,389.9409058873566,380.2159169712929,4
TCGA-C8-A26V-01,446.31956447701685,708.9586457337485,434.5025026295667,421.2186251329579,4
TCGA-A2-A0YE-01,443.8125223701103,712.745527467077,448.2735538419991,425.25157814091864,4
TCGA-A2-A0CW-01,448.02263703847836,708.1395986479234,428.2921558844759,422.28198653961755,4
TCGA-AR-A24K-01,438.55885689949775,704.8426257973573,427.5604997742324,421.0066368635832,4
TCGA-A1-A0SQ-01,438.9625962262254,701.0347422173276,421.4255509254122,416.2912915932332,4
TCGA-C8-A27B-01,436.6050320421081,702.0359694612755,442.4663095067474,412.3288733456084,4
TCGA-D8-A143-01,445.9233120986073,712.2611950677538,443.1981470031171,424.33341878951234,4
TCGA-E9-A248-01,452.4968852025143,716.0976392262164,447.0991542639034,426.6718389759406,4
TCGA-A2-A04N-01,442.9981802559342,707.8799697133295,431.4149775737594,422.45172867847225,4
TCGA-A2-A3KC-01,446.8100113223103,713.4413461518902,439.41433852920994,427.5853481069609,4
TCGA-A2-A0EM-01,437.2889075785785,703.1068009731247,428.3627060203685,417.4726186674849,4
TCGA-GM-A2DI-01,440.4531068570783,707.5249323487342,437.1341889172207,420.5977464792154,4
TCGA-AO-A12B-01,420.07805364919886,682.4693844020585,401.22722899272736,400.12172886023967,4
TCGA-BH-A0DT-01,444.3298035463259,709.672330052786,437.07902530806007,422.5110695097138,4
