,PC1,PC2,PC3
PT081_P1_G01,-0.25409341380733813,-5.47013288370062,7.851840416187661
PT081_P1_G02,0.7228890234762044,-6.508725566020566,5.053521754324573
PT081_P1_G04,-3.6077346789334994,1.7502853432028502,-5.199092007728836
PT081_P1_G06,-2.579811565610947,-1.8486247097094137,0.5870953496188394
PT081_P1_G08,-2.93455460859431,-2.1656686565051535,-4.546603268672224
PT081_P1_G11,-2.90131949156396,-2.859695632525104,-1.761422741820708
PT081_P1_H01,-1.8093694524934028,-2.4971824271768797,-2.941206653791956
PT081_P1_H04,-3.8964439768643624,4.191067556060706,-6.85977704269654
PT081_P1_H06,-1.9235212212847599,0.013415801923787496,-0.011790815956994036
PT081_P3_A03_S195,0.10286537972413679,-4.591588722495204,8.906257615721621
PT081_P3_B02_S206,-3.548235487313364,1.6273694424710141,-1.13232280040026
PT081_P3_B04_S208,-2.878086562166761,0.8579708662321495,-1.1735721380482111
PT081_P3_C03_S219,-4.566022898172266,2.797237316600572,-2.467489182111425
PT081_P3_C04_S220,4.046299830049744,-9.926866911996319,9.73004565624948
PT081_P3_C05_S221,-4.627051653518224,3.5839837004686497,-5.77880511258665
PT081_P3_D05_S233,-1.7453091182490004,-3.543302667628449,4.21809584601948
PT081_P3_E03_S243,-3.1205624071789506,-2.477385431523337,0.25612007827242117
PT081_P3_E04_S244,1.3449935189706201,-6.720349082595213,6.792567587561835
PT081_P3_F06_S258,-0.4081835754199009,-3.2510583374327715,2.6026910091463544
PT081_P5_A05_S101,-0.024214333219308326,-5.0383588938135055,3.4459041028930195
PT081_P5_A06_S102,-3.1802872158556075,-1.7857913648544863,-3.953198968834122
PT081_P5_A07_S103,1.6008673348934426,-7.264996376369286,8.501058484977007
PT081_P5_A09_S105,-0.2428235366237866,-6.461596782355801,5.019502260222732
PT081_P5_A10_S106,-4.203109471441453,2.812536529247268,-6.308663541859362
PT081_P5_A12_S108,-5.507644632095071,2.765010060720248,-8.4482648859769
PT081_P5_B05_S113,-0.7262806618163276,-0.9866236581441566,-0.11766189721318428
PT081_P5_B06_S114,-5.370347178636883,3.9632176338964173,-8.167921306464104
PT081_P5_B08_S116,-3.33221288626839,-0.02781965728124816,-1.7541569223132758
