,arc1,arc2,arc3,arc4,arc5,arc6,arc7
ALDH3B1,3.625122536158217,4.150798791106703,4.607428561784437,3.596622088891621,4.39957718750706,3.4440276083866808,4.244518811720016
TTC22,0.28023287318033585,-0.045139432298989104,-0.018377625284949267,0.1311950892532606,-0.10195001367573797,0.7692546092052701,-0.0020422745831291944
PHTF2,4.8338699795094735,4.85750414466078,5.303448155320117,5.291524388626279,5.2500108163754335,3.8707854674676554,5.166900262769069
CCL26,3.2745961766457286,2.7596283715447867,3.338930572840136,2.32377747643401,2.8710574102020674,2.174435456078844,2.455481942839898
FARP2,4.214240941815747,3.079662353779801,4.158229695910956,3.817784238992494,4.1423160330522615,3.085438689587298,5.137147540269449
GGCT,6.557622509631951,6.1898962319166655,7.285089710375274,6.389075973538056,6.426729026612579,6.831945873851892,6.1848745088362795
DBF4,5.892092219217354,4.5620962757963754,5.917881124528227,5.117333470950303,5.586918694262067,4.96466451830199,4.1412689987768285
TBXA2R,1.9210455695771922,1.1459879990550554,0.7356394987982503,1.5635282550897847,1.0263557873689135,1.2031008151303777,1.3424937949692688
IFRD1,5.293328842898219,6.17573643184452,7.052238978596254,5.912066857254056,6.427802556537004,4.7462834952987425,5.475313548300814
COX10,3.874253482216522,3.5222025735011213,4.161182780741497,3.945367054712457,4.168592304182466,4.192347883287548,3.0641407254160424
GTF2IRD1,3.1434870753103974,4.367006216864278,4.403967807546899,4.068002288625117,4.524956906395187,3.4030201525841823,4.065369422543775
PAF1,5.950710025057293,4.757604029479813,5.958319068945931,6.270048571134913,6.168846013905577,5.822255875200787,5.441105456045402
VPS41,5.163395016009519,4.710530919140399,6.225140815150279,5.809091969344642,5.661198139607672,4.609100682034505,5.419944215528553
ELAC2,6.048232549718804,5.091855928995579,6.589684263468014,6.1055630797576255,6.152791524477678,6.226927406074517,5.348447247759831
SCIN,0.45095103420209576,-0.007268989253392255,0.9842225939479395,0.28155122467089916,0.7345026351934849,0.12453110725455446,0.18075958851428442
ARSD,1.1399254159841434,4.0503528906262485,4.006034802187731,3.768031974678947,4.1393138652978765,0.9314682964892569,3.8249235526299845
PNPLA4,1.5192710981702895,2.6200038992931383,0.5442298398863934,2.2383069386284644,0.025309274876305743,1.978329843467299,1.1006953818330865
ADIPOR2,5.6760138882065325,5.364899562057104,5.55271827046157,5.670670896929064,5.652390234551548,5.5451680198527455,4.988444004834614
CDKL3,0.9520139838820575,2.213857707110551,2.3562771825333155,1.7785250083360795,1.9497979368955598,0.5880432363199013,1.6455496401298726
