,arc1,arc2,arc3
SOAT1,4.401274549863709,4.863444493469993,2.4344502192783746
COL5A2,1.0237250456548996,4.939619984894147,1.05044778523837
LHFPL6,2.3781641966118126,4.64126786253522,0.13542263116384778
CEP170,4.158638381818641,5.964215808363531,3.482943527322121
POPDC3,3.926919757544648,3.252970289546602,0.2581811009857602
TRPC1,1.591949614918058,3.652321266292123,0.5293349933419382
MYL9,4.292425255855186,5.706605132458849,1.4837188163836352
FSTL1,4.844402734473662,7.676080030497566,0.5290704087468603
MXRA7,3.993931011689062,7.017206636902246,2.192991380345198
GFPT2,2.005477477914731,3.8516241574542667,0.04744896312405689
RECK,1.8171756951039768,3.0015079931543527,0.3075433073997653
TMEFF1,0.5814537410957404,1.7071535102411648,-0.040517693503533514
