,arc1,arc2
XK,0.43117166988990985,0.5533842277312574
ANO2,0.6554284774906917,0.322907792029433
SCML1,4.026068086830239,4.488019751034203
WWC3,2.305221511074409,4.0521371108510005
ARHGAP6,0.2797892715657687,1.3720508388465358
FAM184B,-0.034325031623827634,0.2941771966752431
MAP4,6.203443157666529,7.273078940322017
GOPC,4.664233482085316,5.648629319882027
ROS1,0.5212996534096718,1.6810066886602117
USP28,4.040728293718096,4.71803847428679
HDAC9,2.4205773254264464,4.825972201556755
TSPAN17,4.7648172165937135,5.510673011222569
NOP16,6.254800671553132,5.266871062409681
CC2D2A,3.6971054795081875,3.30476479867929
RRM2B,3.953034419449732,4.755825235410894
ZNF800,3.0044324037508594,4.109614678998154
SNX29,1.8718594064978977,2.237614526495506
LMO3,-2.0171248700179882,3.454495563941997
MRPS10,5.758295862132302,5.3609134043974995
RSF1,3.750073264286873,4.527556076613311
VPS13D,3.187966835332944,3.7031408158432
CELF2,-0.45481987338329266,2.613435490199132
FAM120A,5.629272579689596,6.294952640143773
R3HDM1,4.425030168185402,4.820994907165297
COL9A2,0.4795636490339552,2.8608068055597187
KITLG,3.092250541872553,4.351407038497994
ERCC8,4.063842023460643,4.189867334017038
ADAMTS6,3.696749610809584,1.4319580755912766
H6PD,2.4104895541735654,4.335762163514061
VAMP3,6.550091111138858,6.7783704951792
PER3,2.3984608753988246,3.190920211271331
UTS2,1.2146314443566906,1.4673023618940428
TNFRSF9,2.2714938938431772,1.3316789979370085
EPN3,0.8503652376880984,0.04617956818014751
LTBP1,3.796115279939205,4.929215754257006
RCN1,7.929421385746109,7.900286095236309
ELN,-1.7162199438616557,4.607296444183332
RFC2,5.751856864546954,6.100571070297853
ARID1B,3.966757277884947,4.639876560832254
CLPTM1L,7.200928541738956,7.163840773866514
NEDD4L,5.900688835375402,4.242522137991836
FOXP3,0.10989320590081869,0.35212435931082486
PPP1R3F,1.4167846967845372,3.006457312299502
HEXB,7.6163264271849815,8.177560873895773
PTCD2,3.1116421387409114,3.595472005715828
JKAMP,6.442949240026281,6.350338002375331
DKK3,6.132393459143366,9.176424589069946
ARHGEF5,0.8648542177052456,0.570487758596957
NFE2L3,3.7685150818595594,4.3990106514720315
LIMA1,6.310356143615881,6.96290068704663
